[run number],max-accel,initial-tips,waiting-cost,traffic-flow-from-south,switch-probability,signal-NS?,speed-limit,traffic-flow-from-east,cool-down,traffic-flow-from-west,time-window,random-switch?,traffic-flow-from-north,max-brake,[step],average-speed,average-wait,average-drive,pass-car
20,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,3,2.643914171,5.052238806,4.514925373,134
20,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,4,2.962572187,3.9453125,4.2890625,128
20,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,5,2.867981638,4.263565891,4.418604651,129
20,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,6,3.173150364,3.415929204,4.168141593,113
20,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,7,3.186131383,3.381355932,4.186440678,118
20,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,8,2.863181331,4.34,4.43,100
20,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,9,2.997561998,4.036363636,4.245454545,110
20,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,10,2.937880553,3.992307692,4.446153846,130
21,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,1,2.94987348,9.263636364,4.072727273,110
21,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,2,2.948799527,7.078947368,4.456140351,114
21,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,3,2.372420704,10.48672566,4.681415929,113
21,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,4,2.849918817,8.367521368,4.35042735,117
21,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,5,2.541491488,9.75862069,4.620689655,116
21,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,6,2.85468053,7.386138614,4.168316832,101
21,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,7,2.59144026,9.476635514,4.336448598,107
21,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,8,2.587280635,9.034188034,4.52991453,117
21,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,9,2.854311769,10.168,4.168,125
21,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,10,2.626366622,10.97058824,4.401960784,102
22,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,1,3.260876717,10.30232558,3.895348837,86
22,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,2,2.435486635,11.50909091,4.454545455,110
22,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,3,2.98004612,8.324786325,4.239316239,117
22,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,4,2.713854669,9.536842105,4.473684211,95
22,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,5,2.806872152,8.317757009,4.289719626,107
22,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,6,2.933371352,7.648648649,4.135135135,111
22,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,7,2.444166836,11.10185185,4.462962963,108
22,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,8,2.893707195,7.081818182,4.281818182,110
22,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,9,2.785256489,9.043478261,4.184782609,92
22,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,10,2.805958444,8.429824561,4.307017544,114
23,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,1,2.733212457,10.30208333,4.333333333,96
23,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,2,3.137104318,7.168421053,4.021052632,95
23,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,3,2.856855614,8.644230769,4.211538462,104
23,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,4,2.563851957,10.30769231,4.480769231,104
23,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,5,2.478569581,10.89215686,4.401960784,102
23,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,6,2.7206075,9.245454545,4.345454545,110
23,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,7,2.660713923,11.25742574,4.287128713,101
23,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,8,2.885428079,8.425,4.275,120
23,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,9,2.46587379,10.28712871,4.594059406,101
23,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,10,2.349397992,11.13207547,4.594339623,106
24,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,1,3.036566492,8.892857143,4.107142857,112
24,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,2,2.77834591,9.422680412,4.072164948,97
24,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,3,2.470361815,11.24509804,4.431372549,102
24,3,100,1,10,25,TRUE,5,25,30,25,180,TRUE,10,3,4,2.918328917,7.106382979,4.244680851,94
